,Job_Title,Company_Name,Location,Compensation,Job_ID,Job_Description,Python,R ,Matlab,Excel,SAS,SQL,SPSS,Hadoop,Spark
0,Senior-Data-Scientist,Robert Half Technology,TX - Fort Worth,N/A,04030-0011057821,"Ref ID: 04030-0011057821Classification: Data ScientistCompensation: DOERobert Half Technology is looking for a Senior Data Scientist. This Senior Data Scientist is a direct hire, FTE (Full Time Employment) position with one of our client companies in the DFW area. For immediate and confidential consideration on this Permanent / Direct hire IT opportunity, please e-mail your resume confidentially to [Click Here to Email Your Resumé] (profile also on LinkedIn.) Summary-Are you motivated to contribute to the digital transformation of a successful company? This is a unique opportunity to be at the forefront of using decision sciences and implement your solutions in production and have an impact on the business. As a deep domain expert, you will work on great projects and develop applications that will contribute to the value our client delivers to its customers. You should hold an MS or a PHD with a major in operations research, applied statistics, computer science or machine learning.The Senior Data Scientist will design, develop and implement valuable business solutions for the organization by preparing and cleaning data, designing and coding decision support systems and measuring performance of the recommended decisions. These applications will identify business trends and opportunities using advanced decision science. The candidate will interpret data from multiple sources using a variety of statistical and complex data mining techniques in order to provide guidance to the business and contribute to the value our client delivers to its customers.Primary Responsibilities- -Design and develop decision support systems from the ground up that will improve business effectiveness and performance.-Analyze and interpret results from multiple sources using a variety of techniques, ranging from simple data clustering to more advanced classification problem using supervised learning techniques with cross validation.-Prepare big data, implements data models and develops database to support the business solutions.-Coordinate and communicating effectively across diverse functional teams (business leaders and technical teams) the applied logic as well as the data and the information used.-Prepare high-level and detail-level project plans and ensure that each project objective is being completed within the agreed upon deadlines.        ",,,,,,,,,
1,Senior-Data-Scientist,Robert Half Technology,NJ - Jersey City,$140k - $160k/year,02710-0011220068,"Ref ID: 02710-0011220068Classification: Data ScientistCompensation: $140000.00 to $160000.00 yearlyThe Sr Manager/Director, Data Science will be responsible for helping develop the companies data science strategy, building decision systems with machine learning and surfacing company-wide actionable insights to drive business growth. This position is ideal for someone who enjoys elevating the way decision are made and data is used at a fast-paced, consumer-facing company. A successful candidate will enjoy researching and developing statistical learning models, collaborating with various stakeholders to understand company needs / devise solutions and helping implement data driven strategies that impact business profitability. This is a multifaceted opportunity allowing the Manager to deliver unique value propositions to the companies base of clients. Duties/Responsibilities: Help define, lead and own data science strategy, including tools and team Apply artificial intelligence and machine learning techniques to solve complex problems, including customer segmentation, product propensity, operational performance and fraud Research and develop statistical frameworks to optimize product performance through A/B testing and variance analysis Lead analysis for strategic data initiatives and present findings and recommendations to executive leadership Oversee implementation of data insights into the business and ensure analytic integrity Partner with departments to resolve their data and analytical needs Manage scheduled and ad-hoc analytics/data project        ",,,,,,,,,
2,Manager-of-IT-Audit-and-Data-Analytics,Robert Half Technology,GA - Atlanta,$120k - $130k/year,00900-0011225244,"Ref ID: 00900-0011225244Classification: Sr. IT AuditorCompensation: $120000.00 to $130000.00 yearlyJOB FUNCTION: Job functions include but are not limited to the following.Assist IT management and company management by assessing IT processes and controls in order to maximize efficiencies and minimize risk.Continuously improve internal audit approaches, tools and methodologies.Set initiatives and provide guidance for data analytics projects.Develop and present data analytic engagement reports and findings to senior management.Provide direction to and support for the creation of ad-hoc/continuous monitoring reporting.Mentor and train staff on data analytic/fraud detection methodology and tools.Oversee the execution and completion of assurance-related engagements including evaluation of Service Organization Control (SOC) examinations (SSAE18, SOC Types 1, 2, 3 Reports), cyber security assessments, IT controls assessments and testing, fraud detection, internal control analysis, process documentation, development and implementation of accounting systems, selection and installation of accounting software.Identify and communicate IT audit findings to senior management and clients.Manage multiple audit projects and act as liaison between Internal Audit and IT management.Provide exceptional client service by planning, coordinating, and executing cross-functional internal audit and IT audit projects.Assist Internal Audit team with the performance of audits of financial statement elements and operations.Work with Internal Audit team members, external auditor, and IT management to develop a risk-based internal IT audit strategy that complies with professional standards, including the requirements of Sarbanes-Oxley Act section 404.Review testing of IT and operational controls to comply with internal audit and IT audit programs, including Sarbanes-Oxley.Manage audit and client expectations about deliverables, timing, and how the approach matches their needs.Benchmark Company IT processes to industry data.Participate in meetings with the IT management.Work closely with the Company's external auditor; provide appropriate support to the Company's external auditors in the performance of walkthroughs, as well as internal control/substantive testing.",,,,,,,,,
3,Senior-Data-Engineer,Robert Half Technology,TX - Austin,$115k - $130k/year,04160-0010956620,"Ref ID: 04160-0010956620Classification: Big Data EngineerCompensation: $115000.00 to $130000.00 yearlyYou will be responsible for building our data management strategy. You will work closely with software architects and data scientists, support data security efforts, push artificial intelligence models into production, and generate ETL pipelines. You will focus on building scalable and flexible infrastructure to support our evolving business requirements. You should be passionate about technology, collaborating with technical partners, and hyper-focused on delivering extraordinary results. If this sounds like you, we would love to meet you.Responsibilities•Building and maintaining critical ETL pipelines•Architecting and implementing secure data storage strategies for use by the Data Science and Software Engineering teams•Creating API endpoints for easy and secure data retrieval by relevant partners•Constructing infrastructure to incorporate third-party data sources into our machine learning models•Designing and executing strategies for real-time data analysis and decision-making•Conducting design reviews and code reviews•Collaborating with internal and external partners        ",,,,,,,,,
4,Data-Analytics-Manager,"TEKsystems, Inc",GA - Atlanta,N/A,NA," ***** CANDIDATES MUST BE ABLE TO WORK W2 *****Our client is seeking an experienced hands-on Manager to lead the data quality and business analyst functions of our Enterprise Data Lake and data analytics architecture team. This role will be a member of the Enterprise Data team that provides enablement for advanced analytics throughout the company by efficient ingest, storage and consumption of data both manufacturing and commercial as well enables data science model management, deployment and monitoring for various customer groups. The role is focused on developing Data Quality function of our enterprise data lake and the analytics areas. Another key area is at onset of the Analytics projects, develop the capability to gather and retain requirements and documentation for the data and automation needs for the models.  MUST HAVE SKILLS1. At least 5 years' experience testing, building or running enterprise-scale data analytics solutions.2. Experience in visualization tools for BI and front ends dashboards (Tableau, Qlik, PowerBI, SAS, R, SPSS)3. Experience building Data quality and QA procedures4. Experience creating business requirements and QA documentation.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888 472-3411 or email accommodation@teksystems .com for other accommodation options.",,,,,,,,,
5,Sr--Data-Engineer,"TEKsystems, Inc",CA - Irvine,N/A,NA,"Our data and analytics team is on a mission to re-architect and re-engineer the company's data platform by bringing the agility and scalability of the cloud. We are looking for an experienced Senior Data Engineer who is passionate about all things data and has prior hands on experience of loading large datasets utilizing the latest cloud technology to do so. The Senior Data Engineer will be intimately familiar with Amazon Web Services, Google Cloud Platform as well as other global cloud service providers. This candidate should have strong experience with large ETL projects, evidence of experience with cloud/modern ELT architecture, Data Lake and more. Job Expectations:Build robust, scalable real time and batch data pipelines using services like AWS Glue, Amazon EMR, SSIS, Python, PySpark, many others.Provide inputs in choosing and implementing cost effective, scalable and fault tolerant solutionsWell versed with modern data platforms and stay up to date with emerging trends in data engineering field.Work directly with business teams to extract, transform, and load data from a wide variety of data sources using SQL and other technologyFamiliar with Data Virtualization TechnologyKnowledge of Master Data Management specific to ETL processes.Improve ongoing reporting and analysis processes through automation, scale and best practiceImplement data structures using best practices in data modeling, ETL/ELT processes, and SQL, as well as other technologyPassion for data in all shapes and forms Knowledge, Skills and Abilities:Required: At least 7 years of experience with building data pipelines on cloud platforms like AWS and/or GCPHands on experience with Python, Spark and Kafka to build our next gen streaming data platform, ingesting TB of data monthly. Knowledge of Snowflake, Redshift, Athena, batch and Streaming data, Timeseries, KubernetesExperience building large data lakes in the cloud.Understanding of ETL and ELT, Informatica, AWS Glue, Google Cloud Dataprep, Amazon EMR and be able to choose the right tool for the job.Attending daily sprint meetings Working closely with PM and other upstream source system teams to address production issues.SQL server and SSISEquipment Knowledge: Understanding of eCommerce, global scale networks and cloud architecture, other big data technologiesExperience Requirements:7-10+ years of Data Platform expertiseSome form of formal education (boot camp) in Computer Science, Software Development, Database or related technologies  Education Requirements: Bachelor's Degree in Computer Science is highly preferred.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.",,,,,,,,,
6,Associate-Director-of-Application-Engineering,"TEKsystems, Inc",MD - Annapolis,N/A,NA,"This position requires a self-motivated individual with strong leadership, influence, architecture breadth and technical depth and who can build a highly collaborative culture and Agile team environment.The successful candidate will have technology vision and leadership in the development and operational management of PaaS/SaaS products built on high-availability infrastructure. In addition, they will have strong knowledge of networking technologies, systems architecture, programming, and design/implementation of multi-tenant SaaS/PaaS products. If you've lead a team through a digital transformation, you'll be uniquely qualified. You are both a strategist, and an exceptional operator, people developer, purveyor of engineering culture, and courter of top talent.Primary Responsibilities:Build and deliver software and data services products needed for transformation of aviation industry data and associated value added software services.Build and lead a team of software engineering managers, software engineers, systems architects, and advanced technologists that together with product management, data experts, app designers, and program managers design, build, release, and maintain a portfolio of software services, data services products, and enterprise mobile apps.Demonstrate technical leadership by continually leveraging advanced solutions, innovations, and 3rd party capabilitiesDevelop and establish scalable software development, platform engineering, and continuously deployable methods to ensure effective and optimized product development teams that deliver highly available real-time systemsProvide technical leadership for software and data services as required for executive board reviews, customer executive briefings, partner development, strategic business development, M&A activity, and customer sales calls.Navigate complex regulatory, legal, and intellectual property environments involving workers, workflows, end users, and customersLeverage near-shoring and offshoring as requiredManage and negotiate with suppliers, strategic partners, and internal customers as neededWork with managers from other teams to manage product design, development, test, and release.Develop and use product delivery metrics to track progressUp to 25% Travel required to support a global product and solutions organizationBasic Qualifications:Candidates for this role should possess a Bachelor's degree and 10 years of prior relevant experience or an Advanced degree and 8 years of prior relevant experienceMinimum of 5 years first line engineering management experience.Expert experience in owning diverse software engineering teams at a leadership level.10 years of industry experience of which 10+ years of management experience, and 5+ of those years as a senior director in engineering leading both software development and QE teams.2 to 5 years leading software engineering managers including proven success inspiring a diverse team and transforming legacy product approaches across Business Units.Successful track record launching software-as-a-service and data-as-a-service products for enterprisesBuilding B2B Software for SaaS applicationsAgile/ SCRUM strategyProven success building and delivering award winning enterprise mobile apps built upon a data-oriented architectureStrong analytical, quantitative, and problem solving skills. Bachelor degree in Engineering or Science.Proven abilities delivering CI/CD development methodologies.A focus on user design, user experience, and product operational workflows.Desired Qualifications:Demonstrated experience in DevOps tools such as AWS Cloudformation, Kubernetes, Docker, Tomcat, Openshift, etcExperience with Atlassian tools such as - JIRA, ConfluenceExperience with advanced data technologies and capabilities such as data science, machine learning, blockchain, API management, and cloud native platform services that process in the cloud, on-premise, and autonomously on the edgeHands on coding experience in prevailing technologies including Java, Spark, Spring, Python, Django, SQL including hands-on expertise with cloud native solutions from AWS, Azure, and Google.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888 472-3411 or email accommodation@teksystems .com for other accommodation options.",,,,,,,,,
7,UX-Researcher---Mid---Senior-Level,"TEKsystems, Inc",GA - Alpharetta,N/A,NA,"(W2 Only / No C2C)Position: UX Researcher - Mid & Senior LevelDuration: 6 month contract to hireLocation: Alpharetta, GA (Must sit onsite_Top Skills:1. 2-5+ years of professional experience working as a UX Researcher, Usability Analyst, or similar role. 2. Experience designing surveys, writing discussion guides, moderating interviews, analyzing data, translating findings into frameworks & recommendations, and presenting your work.Our client is looking for a curious and driven User Experience Researcher to join the UX Strategy & Research team with a demonstrated experience in providing leadership, technology expertise in the development, integration, launch, scaling, and maintenance of new and existing products and solutions. Sound like you?OUR CLIENT User Experience Researchers have a natural and insatiable desire to always ask 'why' paired with a boldness to uncover opportunities in the least likely places. The UX Strategy & Research team aims to acquire and maintain a 360-degree view of business, product, and user needs through cross-team collaboration and user advocacy. As a researcher on the team, you will play a critical role in this dynamic by serving as the voice of the user and as an advocate for iterative product innovation.This position is ideal for someone who is early or early-mid to senior level in their UX research career and is looking to grow with an HCM technology company. Responsibilities in this position will be very hands-on, iterative, and at times will be fast-paced.We believe people make great companies, not the other way around. Our people make all the difference in delivering innovative HR technologies and solutions that help employees all over the world do their jobs better. The result? We're building the next generation of OUR CLIENT technologies.THINGS YOU'LL DO:A 'typical' day for you as a UX Researcher with our team might include:Recruiting, planning, and moderating concept research and/or usability testing for mobile and desktop devicesInitiating and managing cross-functional collaboration throughout research activitiesAnalyzing research findings and translating them into valuable insights for the teamAssembling findings reports and read-out presentations to share with teams and key stakeholdersAs needed, assisting other researchers during sessions by taking notes, and supporting other researchers with larger strategic discovery projectsMay lead other researchers on large, complex projects to drive successful execution of research activitiesThis job might be a great fit for you if:You believe in solving the right problems. You have a strong desire to understand a problem space and test design concepts based on the opportunities the Strategy and Design teams have identified.You are a great listener. You listen to users and team mates attentively to align business goals and user needs. Helping people through listening and observing makes you feel warm and fuzzy inside.You are curious. Your favorite word is 'why'. You want to observe human behaviors and understand user goals. You always want to know more.You are a clear communicator. You can compress dense research data into digestible and meaningful insights. You are able to present your findings to team members both inside and outside the Strategy & Research team concisely, confidently, and eloquently without being prescriptive.EXPERIENCE YOU'LL NEED:A degree in behavioral science, a related field or equivalent professional experience. These fields may include but are not limited to Human-Computer Interaction, Psychology, Sociology, Interface Design, or Computer Science.2+ years of relevant experience in Human Factors or HCI as a researcher, analyst, or similar role in a software or agency environment.Experience designing surveys, writing discussion guides, moderating interviews, analyzing data, translating findings into frameworks & recommendations, and presenting your work.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888 472-3411 or email accommodation@teksystems .com for other accommodation options.",,,,,,,,,
8,Director--Analytics,Robert Half Finance & Accounting U.S,IL - Chicago,N/A,01300-0011033837,"Ref ID: 01300-0011033837Classification: Sr. Financial AnalystCompensation: DOENewly created role at a leading retail mortgage lender headquartered in Chicago!To apply for this Director, Analytics role, email your resume to [Click Here to Email Your Resumé]. In the subject line, type 'Director, Analytics.'Responsibilities: •Establish a framework that promotes accurate, precise, and useful data products that align with the strategic business needs of key stakeholders•Partner with the Company's data group to transform the Company's data analytics platform.•Mentor and develop team of 3 analysts. •Advanced ability to derive insights. This role is not focused solely on reporting. This role needs to help give direction on what to do, so candidates should be able to extrapolate the opportunities/insights from the data instead of just play back the data        ",,,,,,,,,
9,Tax-Analyst-Manager-Director,Robert Half Finance & Accounting U.S,IL - Chicago,N/A,01300-0011228972,"Ref ID: 01300-0011228972Classification: Tax Analyst/Manager/DirectorCompensation: DOETax AnalystJob DescriptionLSC Communications is a $4.0B Company with over 20,000 employees worldwide that serves the needs of Publishers, Merchandisers, and Retailers with innovative product, service and technology offerings that combine print, e-services, warehousing, fulfillment and supply chain management to increase speed to market, reduce costs, and improve efficiencies. Position Summary: The Corporate Tax team is seeking a Tax Analyst to help support the sales and property tax function including coordinating with the tax compliance team relating to monthly / annual tax filings and interfacing with corporate business units providing support with various tax inquiries. Key Responsibilities: •Coordinate with other tax department members to support broad range of sales/use and property tax issue’s including compiling data for tax compliance, analyzing data for completeness and transmitting the data to the compliance group in order to file the companies returns in a timely manner. •Work closely with tax consultants on tax compliance engagements. •Provide guidance for all divisions in the handling of their various tax related transactions including their sales of products and services to customers, purchases or various items etc. •Verify the accuracy of the general ledger sales and property tax accounts, prepare monthly tax journal entries and reconcile the tax accounts for changes in activity and recommend true-up as necessary.•Assist with the management of customer exemption certificate’s including reviewing for completeness, making the determination if the certificate supports the tax exemption being applied and applying the exemption to customer’s account when accepted. •Assist with tax audits, including gathering of data to present to tax jurisdiction auditors, communicating with company business units to understand various types of transactions, and support incoming inquiries from tax auditors. •Research and document various tax issues associated with the print and logistics business lines and maintain company tax systems to keep with in compliance and updated for changes to tax laws and policies. •Special projects as needed. Required SkillsThe duties and responsibilities described above are the essential functions of the job. The qualifications below are representative of the knowledge, skills, and/or abilities required, Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Qualifications:•Bachelors of Science in Accounting or Finance•One or two years of multi-state experience working directly with indirect tax issues either in a corporate and/or a public accounting firm. Specific knowledge with the print and logistics industry a plus •Knowledge of SAP preferred•Strong analytical skills•Strong communication skills        ",,,,,,,,,
